"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00014846","SANDUSKY, OH US","2015-11-29","0.00","41","36"
"USW00014846","SANDUSKY, OH US","2015-11-30","0.00","45","37"
"USW00014846","SANDUSKY, OH US","2015-12-01","0.02","54","40"
"USW00014846","SANDUSKY, OH US","2015-12-02","0.02","45","34"
"USW00014846","SANDUSKY, OH US","2015-12-03","0.05","43","33"
"USW00014846","SANDUSKY, OH US","2015-12-04","0.00","40","31"
"USW00014846","SANDUSKY, OH US","2015-12-05","0.01","36","28"
"USW00014846","SANDUSKY, OH US","2015-12-06","0.00","47","27"
"USW00014846","SANDUSKY, OH US","2015-12-07","0.01","40","32"
"USW00014846","SANDUSKY, OH US","2015-12-08","0.00","60","34"
"USW00014846","SANDUSKY, OH US","2015-12-09","0.00","69","53"
"USW00014846","SANDUSKY, OH US","2015-12-10","0.00","64","59"
"USW00014846","SANDUSKY, OH US","2015-12-11","0.01","62","59"
"USW00014846","SANDUSKY, OH US","2015-12-12","0.00","69","54"
"USW00014846","SANDUSKY, OH US","2015-12-13","0.00","65","60"
"USW00014846","SANDUSKY, OH US","2015-12-14","0.14","62","48"
"USW00014846","SANDUSKY, OH US","2015-12-15","0.00","48","42"
"USW00014846","SANDUSKY, OH US","2015-12-16","0.01","59","43"
"USW00014846","SANDUSKY, OH US","2015-12-17","0.00","57","34"
"USW00014846","SANDUSKY, OH US","2015-12-18","0.00","36","28"
"USW00014846","SANDUSKY, OH US","2015-12-19","0.00","33","26"
"USW00014846","SANDUSKY, OH US","2015-12-20","0.00","47","24"
"USW00014846","SANDUSKY, OH US","2015-12-21","0.13","53","43"
"USW00014846","SANDUSKY, OH US","2015-12-22","0.02","55","41"
"USW00014846","SANDUSKY, OH US","2015-12-23","0.33","65","42"
"USW00014846","SANDUSKY, OH US","2015-12-24","0.00","60","43"
"USW00014846","SANDUSKY, OH US","2015-12-25","0.00","47","42"
"USW00014846","SANDUSKY, OH US","2015-12-26","0.39","55","42"
"USW00014846","SANDUSKY, OH US","2015-12-27","0.81","53","37"
"USW00014846","SANDUSKY, OH US","2015-12-28","1.25","51","35"
"USW00014846","SANDUSKY, OH US","2015-12-29","0.08","54","35"
"USW00014846","SANDUSKY, OH US","2015-12-30","0.00","36","33"
"USW00014846","SANDUSKY, OH US","2015-12-31","0.00","33","30"
"USW00014846","SANDUSKY, OH US","2016-01-01","0.00","31","26"
"USW00014846","SANDUSKY, OH US","2016-01-02","0.00","33","26"
"USW00014846","SANDUSKY, OH US","2016-01-03","0.00","34","30"
"USW00014846","SANDUSKY, OH US","2016-01-04","0.00","30","21"
"USW00014846","SANDUSKY, OH US","2016-01-05","0.00","31","16"
"USW00014846","SANDUSKY, OH US","2016-01-06","0.00","39","19"
"USW00014846","SANDUSKY, OH US","2016-01-07","0.00","45","27"
"USW00014846","SANDUSKY, OH US","2016-01-08","0.19","45","30"
"USW00014846","SANDUSKY, OH US","2016-01-09","0.05","52","40"
"USW00014846","SANDUSKY, OH US","2016-01-10","0.73","46","18"
"USW00014846","SANDUSKY, OH US","2016-01-11","0.00","24","9"
"USW00014846","SANDUSKY, OH US","2016-01-12","0.00","30","11"
"USW00014846","SANDUSKY, OH US","2016-01-13","0.00","23","10"
"USW00014846","SANDUSKY, OH US","2016-01-14","0.00","44","23"
"USW00014846","SANDUSKY, OH US","2016-01-15","0.21","48","40"
"USW00014846","SANDUSKY, OH US","2016-01-16","0.00","40","31"
"USW00014846","SANDUSKY, OH US","2016-01-17","0.00","31","9"
"USW00014846","SANDUSKY, OH US","2016-01-18","0.00","14","5"
"USW00014846","SANDUSKY, OH US","2016-01-19","0.00","21","8"
"USW00014846","SANDUSKY, OH US","2016-01-20","0.00","20","12"
"USW00014846","SANDUSKY, OH US","2016-01-21","0.00","26","11"
"USW00014846","SANDUSKY, OH US","2016-01-22","0.00","28","23"
"USW00014846","SANDUSKY, OH US","2016-01-23","0.00","28","21"
"USW00014846","SANDUSKY, OH US","2016-01-24","0.00","36","18"
"USW00014846","SANDUSKY, OH US","2016-01-25","0.02","47","28"
